product_no,review_id,rating,text,created_at
1,9266925647,5,너무 좋고 편리해요 이것만란 쓰는 이유가 있는 듯,2025-12-29 17:54:20+00:00
1,13470872202,1,일부러 라방때 특가라고 해서 알람까지 맞춰놓고 기다렸다가 샀는데 쿠팡이 더 싸고 커피가 따뜻한 정도..? 뜨겁게 나오지가 않아요 주변에 같은 거 쓰는 지인들한테 물어보니 김날정도로 펄펄끓게 나온다는데,2025-01-25 14:07:47+00:00
1,17572450003,5,원래 사용하던 버추오가 고장나서 새로 주문했어요 검정색 쓰다가 화이트도 써보고 싶어서 주문했는데 화이트도 예쁘네요 달라진 점은 물통크기가 슬림해졌고 크롬포인트가 없이 심플해졌네요 커피 잘 나옵니다 회전추출방식 크래마때문에 버추오 쓰는데 캡슐커피는 역시 버추오가 맛있어요,2025-12-25 12:02:38+00:00
1,46683247301,5,화이트하고싶었는데 품절이라 고른 매트블랙. 깔끔하고 더 세련된것같아요 ㅎㅎ 알고 샀는데도 거품이 너무두껍게내려지긴하네요ㅜㅠ전 거품을 별로 안조아하는지라.. 커피맛은 좋아요! ㅣ,2026-01-02 15:11:05+00:00
1,57840433685,1,배송이 뭐가 잘못됐는지 물에 흠뻑 젖어서 왔네요 안에 박스까지 다 젖어서 보내려다 급해서 그냥 뜯어서 작동시켰는데 다행히 작동에 문제가 없는것같아서 씁니다..,2022-11-22 15:55:20+00:00
1,74527732477,1,빠른 배송 감사합니다~^^,2024-12-08 19:50:39+00:00
1,86437563864,1,"드르륵 소리나는 초기불량에대한 대처와 같은말만되풀이하는 상담사,새상품하자문의인데도 쓰던상품과같은 as방법도 스트레스였고 공식스토어라고해서 구매했는데 정작 하자문의는 공식홈페이지로하라고하고 공홈은 스토어 톡톡으로해봤냐고 서로떠넘기기식으로 초반에 전화만5~6통했던점 불편했어요 앞으로는 그냥 매장가서 사는게 편할듯하네요",2022-04-05 14:27:55+00:00
1,101386176822,5,너무 맛있고 사용법도 간편하고 편해요! 빠른배송에 파손없이 잘 왔어요!,2025-12-30 09:31:27+00:00
1,102440900240,5,추석맞이 할인 행사로 합리적인 가격에 구매한 네스프레소 버츄오 플러스 화이트 ☕️ 출고량 증가로 정품 등록에 오류가 생겨 애를 먹었지만 네스프레소 공식몰 담당자께서 친절하고 원활하게 처리해주셔서 상당히 만족스럽습니다! 신혼 2인 가구에 딱 알맞은 버츄오 플러스 모델 이런 분들께 추천해요! ✔️ 하루에 한 잔씩 커피 즐기는 분 ✔️ 디카페인 음료라도 즐기고픈 임산부 ✔️ 청소가 귀찮다 여기는 주부 또는 직장인 ✔️ 깔끔한거 좋아하는 프로 인테리어 자취러 저는 이제 막 만삭 돌입한 임산부라 집에 가만히 있기 적적해서 홈카페를 취미로 버츄오 커피 머신을 집에 들이게 됐는데요. 아침에 커피 한잔 내리며 하루를 시작하니 집안 가득 퍼지는 커피향이 기분을 말끔하고 상쾌하게 만들어주어 정말 만족스러워요! 일반 저가 커피샵 아메리카노랑 비교했을때 확실히 맛이 고급지고 크레마와 풍부하며 캡슐도 다양해 손님께 대접하기에도 너무 좋습니다. 캡슐 가격이 저렴해 여러모로 경제적이고 가성비가 높아요! 쓴 커피 잘 못 마시는데 알시티토 디카페니토 정말 맛있어요~ 일주일에 한 번 정도 제품 자동 물세척 시켜주는데 제가 따로 번거롭게 준비할 거 없이 기계가 알아서 척척해주니 전혀 귀찮지도 않습니다. 내돈내산으로도 추천하지만 친한 지인 집들이 선물로도 너무 좋을 것 같아요 😎,2025-09-30 10:26:54+00:00
1,120396433585,1,1점도 아까움 올해 산 후회템,2025-12-28 09:07:10+00:00
1,122355245407,1,오배송으로 상담사와 통화하는데 불친절했어요 만족하지 못했어요,2024-04-03 11:30:43+00:00
1,129015392837,1,"리뷰 추가합니다. 처음 콘센트에 플러그를 꽂았을 때는 전원이 들어왔는데, 껐다가 다시 전원 버튼을 누르니 전원이 들어오지 않았습니다. 버튼 누를 때의 타격감(?)도 없었고요. 교환 요청하려고 고객센터에 전화해서 영상으로 전원 불량 여부도 확인했고 녹화까지 했는데 갑자기 도어 열림 불량으로 접수한다고 하네요. 어이가 없어서 전원이 안들어오는데 도어 열림 불량이 무슨 소리냐고 했더니 그제야 바로 교환 접수 도와준다고 대답하네요. 그러더니 20일 화요일(현재 16일)에 수거해가겠다고 하면서 AS 센터에서 검증 후 불량이 판명되어야 새 제품을 보내준다고 합니다. AS 센터에서 검증하는 것은 이해합니다만 영상으로도 작동되지 않는 것을 확인했으면서 바로 새 제품을 보내는 것도 아니고 검증 이후에 보내준다면 거의 열흘 가량을 허비하게 됩니다. 그리고 다시 보내주는 것이 새 제품일지 아닐지도 모르는 상황입니다. 수리한 뒤에 시리얼 넘버만 교체(본체도 아니고 컵받침에 적혀 있음)해서 보내줄지 어떻게 아나요. 제품 불량으로 인해 교환까지 걸리는 열흘이라는 시간 동안 저는 마냥 기다리고만 있어야 하는 건가요? 그럼 기기 결함으로 인해 그 기간동안 사용하지 못한 것에 대한 보상안을 물어봤더니 그 역시도 명확한 답을 주지 않네요. 상담센터가 네스프레소에서 외주를 주는 기업이라는 것도 확인했고, 상담원 분도 매뉴얼과 프로토콜을 따르는 것일테니 더 항의하지는 않았습니다. 다만 네스프레소에서 결정권이 있거나 책임 있는 분에게 연락 줄 것을 메모로 남겨달라고 요청했는데, 과연 언제 연락이 올지 지켜보겠습니다. 이렇게 교환/환불 시스템을 어렵게 해 놓은 데는 또 처음이네요. 차라리 예전에 쓰던 돌체구스토가 나을 뻔했습니다. 적어도 AS 관련해서는 신속하고 확실하게 처리해줬으니까요. ======================== 라이브할 때 샀는데 사은품이 푸짐하게 왔네요 ㅎㅎ 특히 맘에 드는 건 에스프레소 샷잔이에요 크리스탈 재질인데도 꽤 튼튼하고, 받침이 두꺼워서 좋아요 ㅎㅎ 위스키나 브랜디 샷잔으로 쓰기에도 좋을 것 같네요 :)",2022-12-16 20:52:08+00:00
1,140440085471,5,20만원 주고 구매했는데..오잉..가격이 엄청 내려갔네용 ㅜㅜ..? 새해라 가격할인이 많이 들어갔나봐요.. ㅜㅜ 그래도 선물 받는 분이 좋아했습니다~ 고장 안나고 오래쓰길!,2026-01-04 10:33:16+00:00
1,145679048614,5,네스프레소 너무 좋네요 버츄오 최고예요. 일@캡슐 머신이 고장나서 네스프레소로 갈아탔는데 커피맛이 너무 부드럽고 좋아요~~,2025-12-20 09:50:51+00:00
1,157860918627,5,커피맛은 물론이고 디자인도 훌륭하네요~,2026-01-03 15:40:36+00:00
1,170618059357,1,버츄오플러스 삿는데 거품이 게거품이고 광고나 유튜브처럼 1도 뽀얗지도 않고 고운느낌도 없음. 크레마가 굉장히 거친데 네스프레소는 불량이 아니라네요. 크레마 1분만 있어도 걍 사라지고 꺼지던데 광고랑 달라서 기분나쁨.,2025-01-18 10:14:39+00:00
1,207805394709,1,■■■■■매트블랙 비추 매트블랙 표면 재질 냄새 이슈 있습니다. 2달정도 쓰면서 냄새가 점점 심해지고 역해져서 고객센터와 10통 넘게 실랑이 해서 겨우 교환받음. 유사 사례 많아요. 고객센터 상대로 처리하기 매우 힘들고 책임안지려고 하니 애초에 유광으로 사세요. 버츄오의 커피 자체는 만족하며 잘 쓰고 있어요. 넥스트와 비교해서 자동인 부분도 편리하고 더 낫습니다.,2022-04-26 18:12:29+00:00
1,243096877295,1,"반품한 상품을 받았습니다. 포장은 먼저 뜯은 제품에 덧바른 테이프가 있었고, 패키지로 들어있는. 캡슐박스도 뜯어져 있었습니다. 기계는 물 묻은 흔적이 없어보여 그냥 이 날 꼭 사용하여야 하는 일이 있어 반품하지 않고 어쩔 수 없이 사용했지만, 공식사이트에서 이런식으로 장난치시면 안돼죠!!",2023-02-04 18:36:04+00:00
1,255476166048,1,소음이 매우 심각합니다. 실패한 모델틴듯.......,2023-03-11 21:14:53+00:00
1,257499489931,5,와이프 크리스머스 선물로 구매했습니다. 기존에 쓰던 머신 대비 확실히 편하고 좋습니다. 구매추천이요.,2025-12-27 16:10:04+00:00
1,289125593936,5,공식홈페이지에서 크롬에디션 사서 신혼집에 쓰고있고 너무 좋아서 부모님댁에 이번에 캡슐까지 해서 화이트로 선물로 보내드렸어요. 만족합니다.,2025-12-16 18:46:25+00:00
